DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2019-07-01	31217584	Wojcik GL	2019-06-19	Nature	www.ncbi.nlm.nih.gov/pubmed/31217584	Genetic analyses of diverse populations improves discovery for complex traits.	High density lipoprotein cholesterol levels	10,085 African American individuals, 17,751 Hispanic/Latino individuals, 2,378 Asian ancestry individuals, 1,912 Native Hawaiian ancestry individuals, 604 Native American ancestry individuals, 333 individuals	NA	15q21.3	15	58431280	NR	LIPC, ALDH1A2			ENSG00000166035, ENSG00000128918			rs1077834-?	rs1077834	0	1077834	intron_variant	0	NR	6E-25	24.221848749616356		1.181073	[0.96-1.41] unit increase	Illumina [31978362] (imputed)	N	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST008035	Genome-wide genotyping array
2019-07-01	31217584	Wojcik GL	2019-06-19	Nature	www.ncbi.nlm.nih.gov/pubmed/31217584	Genetic analyses of diverse populations improves discovery for complex traits.	High density lipoprotein cholesterol levels	10,085 African American individuals, 17,751 Hispanic/Latino individuals, 2,378 Asian ancestry individuals, 1,912 Native Hawaiian ancestry individuals, 604 Native American ancestry individuals, 333 individuals	NA	15q21.3	15	58431227	NR	LIPC, ALDH1A2			ENSG00000166035, ENSG00000128918			rs1077835-?	rs1077835	0	1077835	intron_variant	0	NR	5E-25	24.30102999566398		1.181832	[0.96-1.41] unit increase	Illumina [31978362] (imputed)	N	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST008035	Genome-wide genotyping array
2019-07-01	31217584	Wojcik GL	2019-06-19	Nature	www.ncbi.nlm.nih.gov/pubmed/31217584	Genetic analyses of diverse populations improves discovery for complex traits.	High density lipoprotein cholesterol levels	10,085 African American individuals, 17,751 Hispanic/Latino individuals, 2,378 Asian ancestry individuals, 1,912 Native Hawaiian ancestry individuals, 604 Native American ancestry individuals, 333 individuals	NA	11p11.2	11	47253513	NR	NR1H3			ENSG00000025434			rs10838681-?	rs10838681	0	10838681	intron_variant	0	NR	2E-6	5.698970004336019		0.5428951	[0.32-0.77] unit increase	Illumina [31978362] (imputed)	N	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST008035	Genome-wide genotyping array
2019-07-01	31217584	Wojcik GL	2019-06-19	Nature	www.ncbi.nlm.nih.gov/pubmed/31217584	Genetic analyses of diverse populations improves discovery for complex traits.	High density lipoprotein cholesterol levels	10,085 African American individuals, 17,751 Hispanic/Latino individuals, 2,378 Asian ancestry individuals, 1,912 Native Hawaiian ancestry individuals, 604 Native American ancestry individuals, 333 individuals	NA	16q13	16	56969234	NR	CETP			ENSG00000087237			rs11076174-?	rs11076174	0	11076174	intron_variant	0	NR	2E-31	30.69897000433602		2.121392	[1.77-2.48] unit decrease	Illumina [31978362] (imputed)	N	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST008035	Genome-wide genotyping array
2019-07-01	31217584	Wojcik GL	2019-06-19	Nature	www.ncbi.nlm.nih.gov/pubmed/31217584	Genetic analyses of diverse populations improves discovery for complex traits.	High density lipoprotein cholesterol levels	10,085 African American individuals, 17,751 Hispanic/Latino individuals, 2,378 Asian ancestry individuals, 1,912 Native Hawaiian ancestry individuals, 604 Native American ancestry individuals, 333 individuals	NA	11q23.3	11	117014073	NR	SIK3			ENSG00000160584			rs11216230-?	rs11216230	0	11216230	intron_variant	0	NR	6E-15	14.221848749616356		1.974582	[1.48-2.47] unit increase	Illumina [31978362] (imputed)	N	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST008035	Genome-wide genotyping array
2019-07-01	31217584	Wojcik GL	2019-06-19	Nature	www.ncbi.nlm.nih.gov/pubmed/31217584	Genetic analyses of diverse populations improves discovery for complex traits.	High density lipoprotein cholesterol levels	10,085 African American individuals, 17,751 Hispanic/Latino individuals, 2,378 Asian ancestry individuals, 1,912 Native Hawaiian ancestry individuals, 604 Native American ancestry individuals, 333 individuals	NA	10q25.2	10	112150963	NR	GPAM			ENSG00000119927			rs1129555-?	rs1129555	0	1129555	3_prime_UTR_variant	0	NR	1E-7	7.0		0.6446611	[0.41-0.88] unit decrease	Illumina [31978362] (imputed)	N	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST008035	Genome-wide genotyping array
2019-07-01	31217584	Wojcik GL	2019-06-19	Nature	www.ncbi.nlm.nih.gov/pubmed/31217584	Genetic analyses of diverse populations improves discovery for complex traits.	High density lipoprotein cholesterol levels	10,085 African American individuals, 17,751 Hispanic/Latino individuals, 2,378 Asian ancestry individuals, 1,912 Native Hawaiian ancestry individuals, 604 Native American ancestry individuals, 333 individuals	NA	16q22.1	16	68119159	NR	NFATC3			ENSG00000072736			rs114763908-?	rs114763908	0	114763908	intron_variant	0	NR	6E-6	5.221848749616356		3.293925	[1.87-4.72] unit increase	Illumina [31978362] (imputed)	N	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST008035	Genome-wide genotyping array
2019-07-01	31217584	Wojcik GL	2019-06-19	Nature	www.ncbi.nlm.nih.gov/pubmed/31217584	Genetic analyses of diverse populations improves discovery for complex traits.	High density lipoprotein cholesterol levels	10,085 African American individuals, 17,751 Hispanic/Latino individuals, 2,378 Asian ancestry individuals, 1,912 Native Hawaiian ancestry individuals, 604 Native American ancestry individuals, 333 individuals	NA	8p21.3	8	20054859	NR	LPL - RPL30P9	ENSG00000175445	ENSG00000242709		87600	58484	rs115849089-?	rs115849089	0	115849089	intergenic_variant	1	NR	4E-15	14.397940008672037		1.599229	[1.2-2] unit increase	Illumina [31978362] (imputed)	N	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST008035	Genome-wide genotyping array
2019-07-01	31217584	Wojcik GL	2019-06-19	Nature	www.ncbi.nlm.nih.gov/pubmed/31217584	Genetic analyses of diverse populations improves discovery for complex traits.	High density lipoprotein cholesterol levels	10,085 African American individuals, 17,751 Hispanic/Latino individuals, 2,378 Asian ancestry individuals, 1,912 Native Hawaiian ancestry individuals, 604 Native American ancestry individuals, 333 individuals	NA	8p22	8	13678606	RP11-145O15.3	DLC1 - NA	ENSG00000164741			73996		rs11782435-?	rs11782435	0	11782435	intergenic_variant	1	NR	3E-9	8.522878745280337		1.019	[0.68-1.36] unit increase	Illumina [31978362] (imputed)	N	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST008035	Genome-wide genotyping array
2019-07-01	31217584	Wojcik GL	2019-06-19	Nature	www.ncbi.nlm.nih.gov/pubmed/31217584	Genetic analyses of diverse populations improves discovery for complex traits.	High density lipoprotein cholesterol levels	10,085 African American individuals, 17,751 Hispanic/Latino individuals, 2,378 Asian ancestry individuals, 1,912 Native Hawaiian ancestry individuals, 604 Native American ancestry individuals, 333 individuals	NA	16q13	16	56967026	NR	CETP			ENSG00000087237			rs118146573-?	rs118146573	0	118146573	intron_variant	0	NR	7E-43	42.15490195998574		2.715153	[2.33-3.1] unit decrease	Illumina [31978362] (imputed)	N	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST008035	Genome-wide genotyping array
